m2,date,price,floor,,,
79.24,20110305,825000000,5,,,
118.12,20110330,1065000000,8,,,
60.96,20110420,650000000,2,,,
79.24,20110423,775000000,4,,,
156.99,20110505,1200000000,3,,,
60.96,20110613,590000000,2,,,
79.24,20110620,715000000,12,,,
118.12,20110723,945000000,7,,,
79.24,20110730,650000000,9,,,
79.24,20110801,735000000,6,,,
118.12,20110802,960000000,2,,,
60.96,20110802,590000000,6,,,
118.12,20110816,1000000000,6,,,
79.24,20110816,718000000,9,,,
79.24,20110819,730000000,8,,,
60.96,20110820,550000000,9,,,
156.99,20110926,1025000000,1,,,
79.24,20111013,700000000,8,,,
118.12,20111026,850000000,5,,,
79.24,20111029,650000000,9,,,
60.96,20111107,540000000,7,,,
79.24,20111107,670000000,5,,,
118.12,20111114,920000000,3,,,
60.96,20111116,505000000,9,,,
60.96,20111117,480000000,2,,,
118.12,20111118,840000000,3,,,
156.99,20111208,1000000000,6,,,
118.12,20120119,870000000,6,,,
118.12,20120126,850000000,2,,,
118.12,20120202,850000000,10,,,
60.96,20120203,510000000,9,,,
79.24,20120217,625000000,5,,,
79.24,20120223,645000000,9,,,
79.24,20120228,645000000,8,,,
79.24,20120229,610000000,3,,,
79.24,20120301,605000000,1,,,
60.96,20120309,520000000,8,,,
79.24,20120322,638000000,5,,,
79.24,20120421,605000000,10,,,
79.24,20120508,605000000,4,,,
118.12,20120511,850000000,4,,,
79.24,20120512,600000000,1,,,
60.96,20120601,500000000,7,,,
156.99,20120615,980000000,7,,,
118.12,20120619,800000000,8,,,
79.24,20120619,605000000,8,,,
118.12,20120630,860000000,5,,,
156.99,20120703,1030000000,3,,,
118.12,20120922,775000000,4,,,
79.24,20120926,585000000,11,,,
156.99,20120927,880000000,1,,,
79.24,20120928,580000000,3,,,
156.99,20121003,895000000,8,,,
79.24,20121010,620000000,6,,,
60.96,20121019,480000000,11,,,
79.24,20121021,600000000,8,,,
79.24,20121022,600000000,7,,,
118.12,20121029,890000000,1,,,
118.12,20121102,810000000,11,,,
60.96,20121109,470000000,10,,,
79.24,20121119,560000000,5,,,
79.24,20121121,570000000,6,,,
79.24,20121206,595000000,12,,,
79.24,20121211,595000000,10,,,
79.24,20121221,595000000,8,,,
79.24,20121229,615000000,10,,,
156.99,20130122,895000000,2,,,
156.99,20130201,885000000,7,,,
118.12,20130216,805000000,3,,,
79.24,20130228,600000000,3,,,
79.24,20130305,610000000,3,,,
156.99,20130307,980000000,4,,,
79.24,20130311,615000000,1,,,
118.12,20130315,815000000,4,,,
118.12,20130327,820000000,12,,,
118.12,20130416,870000000,10,,,
79.24,20130514,610000000,6,,,
156.99,20130520,970000000,3,,,
60.96,20130521,510000000,13,,,
60.96,20130611,500000000,3,,,
79.24,20130628,605000000,1,,,
60.96,20130717,460000000,6,,,
79.24,20130929,600000000,4,,,
79.24,20131001,600000000,4,,,
79.24,20131002,600000000,1,,,
60.96,20131005,510000000,3,,,
79.24,20131010,600000000,8,,,
79.24,20131017,600000000,12,,,
79.24,20131027,600000000,2,,,
60.96,20131029,465000000,4,,,
79.24,20131104,590000000,4,,,
60.96,20131122,470000000,10,,,
156.99,20131122,970000000,4,,,
156.99,20131224,980000000,5,,,
118.12,20131231,840000000,10,,,
60.96,20131231,482000000,3,,,
60.96,20140117,480000000,2,,,
79.24,20140125,600000000,8,,,
118.12,20140127,865000000,10,,,
79.24,20140206,597500000,5,,,
156.99,20140214,1000000000,11,,,
79.24,20140215,600000000,3,,,
60.96,20140217,490000000,13,,,
79.24,20140220,600000000,7,,,
79.24,20140220,615000000,2,,,
79.24,20140220,610000000,8,,,
79.24,20140222,600000000,1,,,
118.12,20140226,846000000,11,,,
60.96,20140228,502500000,10,,,
79.24,20140228,625000000,2,,,
118.12,20140308,850000000,7,,,
79.24,20140312,630000000,5,,,
60.96,20140320,500000000,3,,,
118.12,20140322,860000000,10,,,
60.96,20140327,500000000,13,,,
118.12,20140327,840000000,9,,,
79.24,20140411,610000000,7,,,
60.96,20140415,488000000,9,,,
79.24,20140418,645000000,8,,,
60.96,20140419,500000000,9,,,
79.24,20140423,650000000,10,,,
118.12,20140515,835000000,9,,,
118.12,20140606,860000000,8,,,
79.24,20140613,640000000,5,,,
60.96,20140718,495000000,5,,,
60.96,20140718,485000000,7,,,
79.24,20140719,635000000,7,,,
118.12,20140719,810000000,3,,,
79.24,20140723,600000000,1,,,
60.96,20140723,495000000,3,,,
79.24,20140801,627000000,4,,,
156.99,20140804,1050000000,12,,,
156.99,20140812,990000000,11,,,
79.24,20140813,590000000,3,,,
79.24,20140814,610000000,9,,,
60.96,20140814,510000000,8,,,
156.99,20140817,980000000,8,,,
79.24,20140818,640000000,9,,,
156.99,20140820,1080000000,10,,,
79.24,20140829,650000000,4,,,
79.24,20140829,625000000,1,,,
118.12,20140904,840000000,4,,,
79.24,20140904,640000000,6,,,
79.24,20140915,630000000,7,,,
60.96,20140915,515000000,2,,,
60.96,20140915,530000000,9,,,
118.12,20140916,840000000,4,,,
118.12,20140920,865000000,11,,,
118.12,20140920,825000000,1,,,
79.24,20140922,655000000,9,,,
79.24,20140923,650000000,3,,,
118.12,20140926,897000000,10,,,
156.99,20140928,1050000000,7,,,
118.12,20140929,880000000,12,,,
60.96,20141001,515000000,13,,,
118.12,20141006,855000000,10,,,
118.12,20141010,890000000,9,,,
156.99,20141013,1000000000,1,,,
156.99,20141020,1080000000,11,,,
79.24,20141031,656000000,4,,,
79.24,20141105,650000000,4,,,
156.99,20141107,1100000000,5,,,
79.24,20141115,625000000,1,,,
60.96,20141125,550000000,10,,,
118.12,20141129,875000000,10,,,
60.96,20141203,545000000,10,,,
79.24,20141230,643000000,3,,,
118.12,20141231,830000000,1,,,
118.12,20150109,840000000,5,,,
156.99,20150111,1130000000,11,,,
118.12,20150116,840000000,5,,,
79.24,20150116,670000000,6,,,
156.99,20150120,1020000000,10,,,
118.12,20150122,860000000,7,,,
60.96,20150205,525000000,11,,,
60.96,20150206,535000000,6,,,
79.24,20150207,675000000,9,,,
60.96,20150209,535000000,6,,,
79.24,20150211,620000000,4,,,
156.99,20150224,1025000000,3,,,
79.24,20150305,625000000,1,,,
79.24,20150305,645000000,11,,,
118.12,20150317,870000000,10,,,
79.24,20150317,650000000,12,,,
156.99,20150319,1049000000,12,,,
79.24,20150320,645000000,4,,,
60.96,20150325,535000000,11,,,
156.99,20150329,1135000000,8,,,
60.96,20150331,535000000,12,,,
156.99,20150403,1090000000,7,,,
60.96,20150411,539000000,7,,,
156.99,20150411,1065000000,12,,,
118.12,20150413,860000000,9,,,
60.96,20150414,533000000,12,,,
79.24,20150415,670000000,12,,,
79.24,20150415,680000000,11,,,
60.96,20150416,550000000,8,,,
79.24,20150424,695000000,10,,,
118.12,20150425,895000000,5,,,
79.24,20150425,640000000,1,,,
156.99,20150504,1100000000,5,,,
118.12,20150509,900000000,12,,,
60.96,20150512,550000000,3,,,
79.24,20150514,700000000,9,,,
79.24,20150515,650000000,4,,,
79.24,20150518,670000000,1,,,
79.24,20150521,705000000,12,,,
60.96,20150530,565000000,6,,,
79.24,20150530,693000000,10,,,
60.96,20150530,570000000,13,,,
60.96,20150601,550000000,4,,,
156.99,20150605,1157500000,2,,,
156.99,20150612,1160000000,11,,,
79.24,20150620,690000000,4,,,
118.12,20150624,895000000,5,,,
79.24,20150627,695000000,8,,,
79.24,20150627,700000000,7,,,
118.12,20150717,870000000,1,,,
60.96,20150717,600000000,11,,,
60.96,20150720,590000000,10,,,
79.24,20150807,750000000,11,,,
156.99,20150814,1230000000,9,,,
79.24,20150820,730000000,3,,,
60.96,20150821,640000000,13,,,
79.24,20150904,737000000,6,,,
79.24,20150911,720000000,1,,,
118.12,20150912,980000000,8,,,
79.24,20150915,740000000,11,,,
79.24,20150924,760000000,8,,,
79.24,20151008,735000000,3,,,
79.24,20151014,760000000,8,,,
118.12,20151105,980000000,3,,,
60.96,20151110,606000000,3,,,
79.24,20151118,740000000,3,,,
79.24,20151201,766000000,10,,,
60.96,20151201,580000000,12,,,
79.24,20160225,730000000,3,,,
60.96,20160301,570000000,6,,,
60.96,20160313,579000000,9,,,
156.99,20160404,1150000000,11,,,
60.96,20160408,590000000,11,,,
79.24,20160413,730000000,12,,,
60.96,20160414,577000000,2,,,
79.24,20160419,705000000,3,,,
79.24,20160419,715000000,12,,,
79.24,20160422,760000000,7,,,
60.96,20160422,605000000,8,,,
118.12,20160430,960000000,10,,,
79.24,20160503,727000000,2,,,
79.24,20160506,740000000,11,,,
79.24,20160509,740000000,10,,,
156.99,20160513,1210000000,6,,,
79.24,20160513,720000000,1,,,
118.12,20160514,960000000,5,,,
79.24,20160517,740000000,1,,,
79.24,20160519,760000000,5,,,
60.96,20160521,630000000,13,,,
60.96,20160525,570000000,3,,,
60.96,20160525,650000000,11,,,
79.24,20160601,780000000,10,,,
60.96,20160601,630000000,7,,,
79.24,20160602,760000000,7,,,
79.24,20160603,765000000,7,,,
79.24,20160606,790000000,7,,,
156.99,20160614,1250000000,12,,,
79.24,20160615,795000000,8,,,
60.96,20160618,645000000,10,,,
156.99,20160621,1260000000,10,,,
60.96,20160622,680000000,13,,,
79.24,20160623,798000000,2,,,
79.24,20160625,800000000,11,,,
156.99,20160625,1275000000,9,,,
156.99,20160626,1280000000,2,,,
60.96,20160630,678000000,5,,,
118.12,20160630,945000000,7,,,
156.99,20160722,1290000000,10,,,
60.96,20160802,680000000,6,,,
156.99,20160802,1300000000,8,,,
156.99,20160803,1290000000,11,,,
79.24,20160809,780000000,4,,,
79.24,20160810,795000000,5,,,
118.12,20160813,1050000000,11,,,
156.99,20160820,1293000000,7,,,
79.24,20160823,800000000,11,,,
79.24,20160823,790000000,10,,,
79.24,20160824,800000000,12,,,
60.96,20160829,685000000,7,,,
156.99,20160830,1320000000,4,,,
118.12,20160901,1045000000,1,,,
79.24,20160904,800000000,1,,,
118.12,20160907,1137000000,9,,,
60.96,20160910,700000000,4,,,
79.24,20160913,830000000,11,,,
79.24,20160920,820000000,4,,,
156.99,20160927,1350000000,3,,,
79.24,20161001,830000000,6,,,
79.24,20161003,890000000,6,,,
118.12,20161016,1110000000,8,,,
79.24,20161026,860000000,12,,,
60.96,20161116,730000000,12,,,
156.99,20161119,1300000000,11,,,
156.99,20161221,1280000000,12,,,
118.12,20161228,1000000000,3,,,
118.12,20170113,1055000000,5,,,
79.24,20170207,790000000,11,,,
118.12,20170216,1110000000,8,,,
79.24,20170221,765000000,1,,,
60.96,20170228,700000000,11,,,
79.24,20170304,800000000,7,,,
79.24,20170307,815000000,1,,,
118.12,20170314,1130000000,3,,,
79.24,20170316,830000000,12,,,
156.99,20170317,1425000000,7,,,
60.96,20170322,718000000,4,,,
79.24,20170327,840000000,6,,,
118.12,20170331,1150000000,7,,,
60.96,20170403,715000000,4,,,
118.12,20170404,1150000000,4,,,
79.24,20170406,840000000,5,,,
79.24,20170406,840000000,1,,,
79.24,20170407,870000000,3,,,
79.24,20170407,800000000,9,,,
60.96,20170408,725000000,9,,,
79.24,20170411,848000000,1,,,
60.96,20170413,710000000,9,,,
79.24,20170420,875000000,3,,,
79.24,20170420,870000000,2,,,
118.12,20170426,1200000000,6,,,
79.24,20170429,870000000,11,,,
79.24,20170509,890000000,7,,,
118.12,20170513,1200000000,6,,,
156.99,20170522,1530000000,5,,,
79.24,20170531,890000000,12,,,
79.24,20170531,915000000,8,,,
79.24,20170531,885000000,12,,,
79.24,20170606,888000000,5,,,
79.24,20170606,895000000,11,,,
79.24,20170606,900000000,11,,,
156.99,20170607,1520000000,8,,,
79.24,20170607,886000000,7,,,
79.24,20170612,900000000,11,,,
79.24,20170619,887000000,4,,,
60.96,20170622,720000000,6,,,
118.12,20170625,1147000000,5,,,
79.24,20170627,895000000,7,,,
79.24,20170704,890000000,12,,,
79.24,20170704,900000000,10,,,
60.96,20170707,770000000,5,,,
79.24,20170708,880000000,4,,,
79.24,20170710,888000000,6,,,
156.99,20170715,1505000000,7,,,
60.96,20170717,773000000,4,,,
60.96,20170718,770000000,4,,,
79.24,20170720,930000000,2,,,
156.99,20170721,1535000000,9,,,
118.12,20170725,1260000000,1,,,
156.99,20170726,1545000000,7,,,
156.99,20170726,1600000000,8,,,
156.99,20170728,1600000000,6,,,
79.24,20170729,1000000000,3,,,
156.99,20170729,1594000000,7,,,
118.12,20170822,1158000000,8,,,
79.24,20170906,850000000,12,,,
79.24,20170911,900000000,5,,,
156.99,20170912,1460000000,3,,,
79.24,20170913,865000000,4,,,
79.24,20170915,887000000,7,,,
79.24,20170915,860000000,10,,,
156.99,20170918,1450000000,11,,,
79.24,20170918,880000000,7,,,
60.96,20170919,780000000,4,,,
156.99,20170919,1475000000,8,,,
79.24,20170919,890000000,2,,,
118.12,20170920,1200000000,9,,,
118.12,20170920,1200000000,12,,,
156.99,20170920,1405000000,9,,,
156.99,20170922,1445000000,7,,,
156.99,20170923,1440000000,5,,,
79.24,20170925,950000000,9,,,
79.24,20170925,940000000,11,,,
79.24,20170925,920000000,11,,,
79.24,20170926,930000000,11,,,
79.24,20170926,925000000,2,,,
79.24,20170928,955000000,6,,,
79.24,20170928,950000000,12,,,
60.96,20170929,795000000,9,,,
79.24,20170930,930000000,1,,,
118.12,20171011,1215000000,11,,,
118.12,20171012,1250000000,8,,,
79.24,20171016,950000000,2,,,
79.24,20171019,950000000,4,,,
79.24,20171019,960000000,9,,,
156.99,20171020,1550000000,12,,,
79.24,20171021,970000000,5,,,
156.99,20171023,1500000000,4,,,
60.96,20171028,771000000,11,,,
79.24,20171101,965000000,2,,,
60.96,20171102,775000000,13,,,
79.24,20171103,964000000,10,,,
118.12,20171107,1160000000,7,,,
118.12,20171107,1258000000,12,,,
79.24,20171109,970000000,7,,,
156.99,20171110,1490000000,3,,,
118.12,20171122,1250000000,10,,,
156.99,20171122,1493000000,3,,,
79.24,20171127,900000000,4,,,
79.24,20171127,945000000,3,,,
118.12,20171129,1235000000,4,,,
156.99,20171201,1490000000,9,,,
79.24,20171202,960000000,11,,,
118.12,20171204,1250000000,11,,,
118.12,20171206,1250000000,7,,,
79.24,20171206,950000000,6,,,
60.96,20171206,765000000,7,,,
60.96,20171206,790000000,3,,,
79.24,20171207,934000000,2,,,
79.24,20171207,960000000,9,,,
156.99,20171208,1510000000,8,,,
79.24,20171208,960000000,6,,,
79.24,20171212,960000000,6,,,
79.24,20171213,925000000,12,,,
79.24,20171214,945500000,12,,,
156.99,20171214,1500000000,3,,,
60.96,20171215,810000000,6,,,
79.24,20171216,940000000,1,,,
60.96,20171216,820000000,8,,,
118.12,20171218,1260000000,11,,,
156.99,20171218,1480000000,1,,,
79.24,20171218,940000000,2,,,
60.96,20171219,770000000,2,,,
118.12,20171220,1230000000,4,,,
118.12,20171222,1250000000,6,,,
79.24,20171222,930000000,3,,,
118.12,20171222,1240000000,4,,,
79.24,20171223,960000000,6,,,
79.24,20171226,928000000,1,,,
156.99,20171226,1560000000,11,,,
60.96,20171227,800000000,6,,,
118.12,20171231,1250000000,7,,,
79.24,20180102,1000000000,1,,,
79.24,20180103,990000000,6,,,
118.12,20180104,1270000000,7,,,
79.24,20180108,1000000000,4,,,
60.96,20180109,835000000,13,,,
60.96,20180111,850000000,7,,,
156.99,20180112,1500000000,6,,,
118.12,20180112,1300000000,1,,,
79.24,20180112,1008000000,11,,,
156.99,20180112,1600000000,9,,,
118.12,20180113,1330000000,12,,,
79.24,20180114,1050000000,4,,,
60.96,20180116,880000000,7,,,
156.99,20180116,1545000000,12,,,
60.96,20180117,880000000,3,,,
60.96,20180117,900000000,2,,,
60.96,20180118,950000000,5,,,
156.99,20180118,1600000000,6,,,
156.99,20180120,1580000000,2,,,
60.96,20180120,870000000,2,,,
79.24,20180120,1065000000,7,,,
79.24,20180122,1060000000,6,,,
79.24,20180122,1090000000,8,,,
156.99,20180123,1570000000,6,,,
79.24,20180123,1060000000,7,,,
79.24,20180125,1100000000,6,,,
156.99,20180125,1690000000,7,,,
118.12,20180126,1250000000,1,,,
79.24,20180131,1120000000,8,,,
156.99,20180201,1600000000,9,,,
60.96,20180202,890000000,13,,,
118.12,20180205,1350000000,2,,,
60.96,20180206,868000000,2,,,
156.99,20180302,1650000000,10,,,
156.99,20180307,1735000000,4,,,
60.96,20180319,900000000,3,,,
118.12,20180326,1350000000,6,,,
156.99,20180406,1710000000,6,,,
79.24,20180416,1200000000,2,,,
79.24,20180428,1200000000,6,,,
118.12,20180530,1390000000,12,,,
79.24,20180713,1150000000,3,,,
156.99,20180717,1740000000,2,,,
79.24,20180718,1280000000,4,,,
156.99,20180807,1800000000,1,,,
118.12,20180814,1060000000,6,,,
156.99,20180828,2120000000,11,,,
79.24,20180905,1100000000,7,,,
79.24,20190405,1168000000,9,,,
118.12,20190409,1500000000,2,,,
79.24,20190427,1180000000,4,,,
